"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
59,"Kropyvnytskyi",7500,100,"Junior Software Engineer",0,"0.5","1С",,21,"female","Техникум / Колледж","ЗНТУ","False","элементарный","до 10 человек","Другая","Manufacturing, Travel, Uberfication"
60,"Луцк",7500,1500,"Product Manager",4,2,,,24,"male","Высшее","ДонНТУ","False","средний","до 50 человек","Продуктовая","AR/VR"
61,"Lviv",7500,1200,"Team/Technical Lead",8,"0.25","Java",,29,"male","Высшее","Lvivская Политехника","False","продвинутый","до 200 человек","Аутсорсинговая","E-commerce"
62,"Lviv",7500,0,"Director of Engineering / Program Director",10,3,,,32,"male","Высшее","Lvivская Политехника","False","выше среднего","до 50 человек","Продуктовая","Adtech, Media"
63,"Kyiv",7500,4000,"Senior Software Engineer",10,"0.5","C#/.NET",,33,"male","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Аутсорсинговая","Insurance"
64,"Kyiv",7500,0,"Senior Software Engineer",3,"0.5","C#/.NET",,29,"male","Два высших","КНУ им. Шевченко","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Logistics, Medtech"
65,"Chernivtsi",7500,4000,"Senior Software Engineer",10,1,"PHP",,29,"male","Высшее",,"False","средний","до 50 человек","Аутстаффинговая","ERP"
66,"Kyiv",7400,800,"Director of Engineering / Program Director",10,"0.25",,,40,"male","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Fintech, Gambling"
67,"Kharkiv",7400,0,"System Architect",10,1,"C",,29,"male","Высшее","ХНУРЭ","False","продвинутый","до 10 человек","Стартап","Інша"
68,"Rivne",7300,2000,"Software Engineer",9,0,"Python",,29,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 10 человек","Стартап","Medtech"
69,"Rivne",7300,2000,"Software Engineer",9,"0.25","Python",,29,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 10 человек","Стартап","Medtech"
70,"Kyiv",7250,250,"Team/Technical Lead",8,2,"Golang",,32,"male","Высшее","НАУ","False","продвинутый","до 200 человек","Продуктовая","High Load Systems, Security"
71,"Kyiv",7200,2450,"Project manager",10,"0.5",,,34,"male","Высшее","ЧНУ им. Федьковича","False","продвинутый","до 10 человек","Стартап","E-commerce"
72,"Ivano-Frankivsk",7200,1000,"Team/Technical Lead",8,2,"JavaScript",,25,"male","Техникум / Колледж",,"False","продвинутый","до 50 человек","Продуктовая","Blockchain, Security"
73,"Kyiv",7200,720,"Senior Software Engineer",6,1,"Swift",,26,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Продуктовая","E-commerce"
74,"Kyiv",7200,1000,"Senior Software Engineer",6,1,"JavaScript",,31,"male","Высшее","Other вуз","False","продвинутый","до 1000 человек","Аутстаффинговая","E-commerce"
75,"Kyiv",7150,500,"Director of Engineering / Program Director",6,"0.5",,,30,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутстаффинговая","Telecom"
76,"Kyiv",7125,500,"Director of Engineering / Program Director",6,"0.5",,,30,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутстаффинговая","Telecom"
77,"Kyiv",7100,0,"Team/Technical Lead",10,3,"Golang",,42,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 200 человек","Аутстаффинговая","E-commerce"
78,"Kyiv",7100,4350,"Senior Software Engineer",10,1,"Ruby/Rails",,37,"male","Высшее","Other вуз","False","средний","до 50 человек","Продуктовая","E-commerce"
79,"Kyiv",7100,1500,"DevOps",10,1,,,33,"male","Высшее","ХНУРЭ","False","продвинутый","до 50 человек","Продуктовая","Fintech"
80,"Vinnytsia",7040,500,"Senior Software Engineer",10,1,"JavaScript",,39,"male","Высшее","ВНТУ","False","продвинутый","до 10 человек","Другая","E-commerce"
81,"Kyiv",7000,0,"Marketing",10,4,,,39,"female","Высшее","КНУ им. Шевченко","False","продвинутый","свыше 1000 человек","Продуктовая","Gambling"
82,"Kyiv",7000,2000,"Senior Software Engineer",7,1,"Ruby/Rails",,24,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Продуктовая","Інша"
83,"Kyiv",7000,0,"Director of Engineering / Program Director",10,1,,,37,"male","Два высших","НТУ «ХПИ»","False","выше среднего","до 10 человек","Продуктовая","Fintech"
84,"Kyiv",7000,0,"Team/Technical Lead",10,3,"Scala",,31,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Adtech, Big Data, High Load Systems"
85,"Mykolaiv",7000,800,"DevOps",5,2,,,28,"male","Высшее","ЧГУ им. Петра Могилы","False","средний","до 50 человек","Аутсорсинговая","Cloud Computing, Logistics"
86,"Kyiv",7000,1500,"Director of Engineering / Program Director",8,"0.5",,,31,"male","Кандидат","НТУУ «КПИ»","False","выше среднего","до 50 человек","Продуктовая","Інша"
87,"Dnipro",7000,2500,"System Architect",3,3,"JavaScript",,23,"male","Среднее",,"False","элементарный","до 10 человек","Аутсорсинговая","Data Science, GameDev, Machine Learning"
88,"Kyiv",7000,0,"Team/Technical Lead",10,1,"C#/.NET",,31,"male","Высшее","ДонНТУ","False","выше среднего","до 200 человек","Продуктовая","Security"
89,"Kyiv",7000,500,"System Architect",10,"0.5","PHP",,34,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","E-commerce"
90,"Odessa",7000,0,"Director of Engineering / Program Director",10,9,,,39,"male","Кандидат","ОНУ им. Мечникова","False","продвинутый","до 1000 человек","Продуктовая","E-commerce, High Load Systems, Telecom"
91,"Kyiv",7000,0,"Senior Software Engineer",10,0,"Ruby/Rails",,34,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Продуктовая","E-commerce"
92,"Kyiv",7000,1000,"Team/Technical Lead",10,5,"C#/.NET",,37,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","Інша"
93,"Kyiv",7000,0,"Marketing",5,3,,,29,"male","Высшее","КНЭУ","False","продвинутый","до 10 человек","Аутсорсинговая","Blockchain, E-commerce, Media"
94,"Kyiv",7000,2000,"Senior Software Engineer",6,1,"Scala",,25,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Продуктовая","Інша"
95,"Lviv",7000,1000,"Director of Engineering / Program Director",10,5,,,26,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Аутсорсинговая","Blockchain, Fintech"
96,"Kyiv",7000,0,"Senior Software Engineer",10,6,"PHP",,35,"male","Незаконченное высшее",,"False","продвинутый","до 10 человек","Продуктовая","E-commerce, Media, Інша"
97,"Kyiv",7000,0,"Data Scientist",5,3,,,37,"male","Высшее","ХНУРЭ","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Big Data, Data Science, Machine Learning"
98,"Kyiv",7000,500,"Senior Software Engineer",6,1,"JavaScript",,40,"male","Высшее","КНЭУ","False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce, Gambling, High Load Systems"
99,"Kyiv",7000,0,"Director of Engineering / Program Director",10,2,,,47,"male","Два высших","ОНУ им. Мечникова","False","продвинутый","до 1000 человек","Аутсорсинговая","AR/VR, Internet of Things, Machine Learning"
100,"Kyiv",7000,500,"System Architect",10,2,"C#/.NET",,32,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Fintech"
101,"Odessa",7000,0,"Director of Engineering / Program Director",10,10,,,44,"male","Высшее","ОНПУ","False","продвинутый","до 1000 человек","Аутсорсинговая","Big Data, Internet of Things, Medtech"
102,"Lviv",7000,0,"Team/Technical Lead",10,2,"JavaScript",,33,"male","Кандидат",,"False","продвинутый","до 200 человек","Другая","GameDev"
103,"Kyiv",7000,3700,"Team/Technical Lead",7,"0.5","Swift",,27,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Стартап","Mobile"
104,"Lviv",7000,2000,"DevOps",7,1,,,34,"male","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Продуктовая","Cloud Computing, Data Science, Insurance"
105,"Kyiv",7000,0,"System Architect",10,2,"Scala",,52,"male","Высшее","КНУ им. Шевченко","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Big Data, Cloud Computing"
106,"Kyiv",7000,500,"Team/Technical Lead",10,2,"C#/.NET",,32,"male","Незаконченное высшее","НТУ «ХПИ»","False","выше среднего","до 1000 человек","Аутсорсинговая","ERP, High Load Systems, Logistics"
107,"Kyiv",7000,0,"Senior Software Engineer",7,3,"Kotlin",,29,"male","Высшее","КНУТД","False","продвинутый","до 10 человек","Аутсорсинговая","Mobile"
108,"Dnipro",6900,-1000,"System Architect",10,1,"C#/.NET",,31,"male","Высшее","ДНУ им. Гончара","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
109,"Kyiv",6900,1000,"Senior Software Engineer",10,3,"C++",,37,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутстаффинговая","Medtech"
110,"Kyiv",6900,400,"Sales manager",10,4,,,29,"male","Незаконченное высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Продуктовая","Automotive, Big Data, Cloud Computing"
111,"Kyiv",6800,600,"System Architect",9,4,"JavaScript",,39,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 1000 человек","Аутсорсинговая","E-commerce"
112,"Odessa",6800,1800,"Senior Software Engineer",10,5,"TypeScript",,33,"male","Два высших","ОНАС","False","ниже среднего","до 200 человек","Аутсорсинговая","Adtech"
113,"Kyiv",6700,1500,"System Architect",3,"0.5","JavaScript",,40,"male","Высшее","ДонНУ им. Васыля Стуса","False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce"
114,"Kyiv",6700,1700,"Team/Technical Lead",5,3,"Scala",,25,"male","Высшее","Other вуз","False","средний","до 200 человек","Продуктовая","Fintech"
115,"Lviv",6700,0,"Senior Software Engineer",10,2,"JavaScript",,29,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Аутсорсинговая","Agriculture, Fintech"
116,"Kyiv",6650,2000,"DevOps",2,1,,,22,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Продуктовая","Fintech"
117,"Kyiv",6650,150,"Team/Technical Lead",10,1,"JavaScript",,31,"male","Незаконченное высшее","Other вуз","False","средний","до 200 человек","Продуктовая","Інша"
