"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
6523,"Kyiv",1700,200,"HR",3,"0.5",,,26,"female","Высшее","КНЭУ","False","выше среднего","свыше 1000 человек","Продуктовая","Інша"
6524,"Kyiv",1700,-400,"Designer",3,2,,,24,"male","Высшее","КНЭУ","False","продвинутый","до 200 человек","Продуктовая","E-commerce"
6525,"Kharkiv",1700,500,"Software Engineer",2,"0.5","Python",,22,"male","Высшее","ХНУРЭ","False","выше среднего","до 1000 человек","Аутсорсинговая","Data Science"
6526,"Kharkiv",1700,500,"Sales manager",10,2,,,43,"male","Высшее","ХНУРЭ","False","выше среднего","до 200 человек","Аутсорсинговая","Blockchain, Fintech, High Load Systems"
6527,"Kyiv",1700,500,"Designer",2,0,,,22,"male","Среднее",,"False","средний","до 1000 человек","Продуктовая","Logistics"
6528,"Kharkiv",1700,700,"Marketing",5,"0.5",,,30,"female","Кандидат","ХНУ им. Каразина","False","продвинутый","до 50 человек","Аутсорсинговая","Adtech, Fintech, Mobile"
6529,"Kyiv",1700,800,"QA Engineer",2,"0.5",,"General QA",25,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","E-commerce, Fintech, Mobile"
6530,"Kyiv",1700,100,"Support",10,6,,,36,"male","Высшее","Other вуз","False","средний","до 10 человек","Аутсорсинговая","Інша"
6531,"Kharkiv",1700,500,"Software Engineer",3,1,"JavaScript",,26,"male","Высшее","Other вуз","False","ниже среднего","до 200 человек","Аутсорсинговая","Telecom"
6532,"Kyiv",1700,700,"Junior Software Engineer",2,2,"Java",,25,"male","Высшее","ДонНУ им. Васыля Стуса","False","средний","до 50 человек","Продуктовая","Logistics"
6533,"Мариуполь",1700,500,"Software Engineer",3,1,"JavaScript",,36,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Blockchain"
6534,"Kyiv",1700,0,"QA Engineer",4,2,,"Manual QA",28,"male","Высшее","Other вуз","False","продвинутый","до 200 человек","Аутстаффинговая","E-commerce, Mobile, Travel"
6535,"Vinnytsia",1700,500,"Software Engineer",3,0,"TypeScript",,30,"male","Среднее",,"False","ниже среднего","до 50 человек","Аутсорсинговая","E-commerce, Media"
6536,"Kyiv",1700,400,"Designer",4,2,,,29,"male","Высшее","ЗНТУ","False","ниже среднего","до 1000 человек","Продуктовая","Media, Інша"
6537,"Kyiv",1700,700,"Software Engineer",1,"0.5","JavaScript",,27,"male","Высшее","КНУСА","False","выше среднего","до 200 человек","Аутсорсинговая","Інша"
6538,"Vinnytsia",1700,400,"Senior Software Engineer",3,2,"JavaScript",,22,"male","Высшее","ВНТУ","False","средний","до 200 человек","Аутстаффинговая","Media"
6539,"Kyiv",1700,400,"Software Engineer",5,3,"C",,23,"male","Высшее","НТУ «ХПИ»","False","выше среднего","до 50 человек","Аутсорсинговая","Embedded, Hardware, Internet of Things"
6540,"Kharkiv",1700,1000,"Business analyst",3,0,,,26,"female","Высшее","НТУ «ХПИ»","False","выше среднего","до 200 человек","Продуктовая","Insurance, Medtech"
6541,"Kyiv",1700,-800,"Software Engineer",3,1,"JavaScript",,29,"male","Высшее","Other вуз","False","средний","до 50 человек","Стартап","Media"
6542,"Kyiv",1700,1000,"Software Engineer",2,2,"JavaScript",,26,"male","Высшее","ХНУРЭ","False","средний","до 10 человек","Аутстаффинговая","Adtech"
6543,"Kyiv",1700,550,"Business analyst",4,2,,,25,"female","Высшее","НТУУ «КПИ»","False","ниже среднего","до 200 человек","Продуктовая","E-commerce, Інша"
6544,"Odessa",1700,200,"Business analyst",4,0,,,30,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутсорсинговая","Fintech, Logistics, Machine Learning"
6545,"Kharkiv",1700,500,"Software Engineer",3,1,"PHP",,37,"male","Высшее","ХАИ","False","ниже среднего","до 50 человек","Продуктовая","Internet of Things"
6546,"Kharkiv",1700,700,"Software Engineer",2,"0.25","Kotlin",,34,"male","Высшее",,"False","средний","до 50 человек","Аутсорсинговая","Інша"
6547,"Kharkiv",1700,300,"SysAdmin",4,2,,,28,"male","Высшее","ХНЭУ","False","выше среднего","до 1000 человек","Аутсорсинговая","Інша"
6548,"Kyiv",1700,500,"Software Engineer",3,2,"JavaScript",,21,"male","Незаконченное высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Аутсорсинговая","Media"
6549,"Kharkiv",1700,100,"QA Engineer",6,6,,"Manual QA",31,"male","Высшее","ВНУ им. Даля","False","средний","до 200 человек","Аутсорсинговая","E-commerce, Mobile"
6550,"Lviv",1700,400,"Software Engineer",2,1,"C#/.NET",,26,"male","Кандидат","ЛНУ им. Франко","False","выше среднего","до 200 человек","Аутсорсинговая","Logistics"
6551,"Kharkiv",1700,200,"Business analyst",3,2,,,25,"male","Высшее","НТУ «ХПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
6552,"Dnipro",1700,300,"Software Engineer",4,1,"PHP",,26,"female","Высшее","НГУ [Dniproопетровск]","False","ниже среднего","до 200 человек","Аутсорсинговая","Інша"
6553,"Vinnytsia",1700,300,"Software Engineer",2,2,"Swift",,23,"male","Высшее","ВНТУ","False","средний","до 1000 человек","Аутсорсинговая","Mobile"
6554,"Lviv",1700,500,"Software Engineer",3,1,"Java",,23,"male","Высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Cloud Computing, Security, Інша"
6555,"Kyiv",1700,0,"QA Engineer",3,1,,"General QA",25,"male","Высшее","Other вуз","False","выше среднего","до 10 человек","Аутстаффинговая","E-commerce"
6556,"Kyiv",1700,900,"Software Engineer",2,"0.5","PHP",,25,"female","Высшее","ДНУ им. Гончара","False","выше среднего","до 200 человек","Аутсорсинговая","Інша"
6557,"Тернополь",1700,800,"Software Engineer",3,2,"C++",,21,"male","Незаконченное высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Embedded, Telecom"
6558,"Dnipro",1700,0,"Software Engineer",5,5,"C#/.NET",,26,"male","Высшее","ДНУЖТ","False","ниже среднего","до 50 человек","Аутсорсинговая","E-commerce, ERP, Insurance"
6559,"Kyiv",1700,0,"Business analyst",4,2,,,24,"female","Незаконченное высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Embedded, Hardware, Інша"
6560,"Kharkiv",1700,900,"Software Engineer",1,1,"JavaScript",,23,"female","Высшее","ХНУРЭ","False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
6561,"Kyiv",1700,200,"Software Engineer",5,1,"PHP",,24,"male","Высшее","КНУ им. Шевченко","False","средний","до 50 человек","Аутсорсинговая","E-commerce, High Load Systems, Medtech"
6562,"Odessa",1700,700,"Data Analyst",6,"0.5",,,31,"male","Высшее","ОНУ им. Мечникова","False","выше среднего","до 1000 человек","Продуктовая","E-commerce"
6563,"Kyiv",1700,700,"Sales manager",4,4,,,31,"female","Высшее","СумГУ","False","выше среднего","до 200 человек","Продуктовая","Telecom"
6564,"Kyiv",1700,0,"Software Engineer",4,2,"C#/.NET",,26,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 10 человек","Аутсорсинговая","Fintech, High Load Systems"
6565,"Dnipro",1700,-300,"Software Engineer",5,1,"Kotlin",,24,"female","Высшее","ДНУ им. Гончара","False","выше среднего","до 50 человек","Аутстаффинговая","Fintech, Media, Travel"
6566,"Odessa",1699,400,"Software Engineer",3,"0.5","JavaScript",,27,"male","Высшее","Other вуз","False","ниже среднего","до 10 человек","Стартап","Інша"
6567,"Kyiv",1695,602,"Software Engineer",2,"0.5","C#/.NET",,27,"male","Высшее","НУПТ","False","ниже среднего","до 200 человек","Продуктовая","Automotive"
6568,"Kharkiv",1680,-800,"QA Tech Lead",6,6,,"Performance QA",30,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","Cloud Computing, Mobile, Security"
6569,"Kharkiv",1680,285,"Project manager",2,1,,,29,"male","Кандидат","ХНУ им. Каразина","False","продвинутый","до 200 человек","Аутсорсинговая","E-commerce, Machine Learning, Medtech"
6570,"Vinnytsia",1676,1676,"Software Engineer",3,"0.5","Java",,28,"male","Два высших","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Fintech"
6571,"Lviv",1670,450,"Software Engineer",2,2,"C++",,30,"male","Высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Embedded, Media, Telecom"
6572,"Dnipro",1670,700,"Software Engineer",3,2,"Golang",,27,"male","Высшее","ДНУ им. Гончара","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Legal"
6573,"Kyiv",1670,500,"QA Engineer",5,1,,"Manual QA",28,"male","Высшее","Other вуз","False","средний","до 200 человек","Аутсорсинговая","E-commerce, Fintech"
6574,"Kharkiv",1670,870,"Software Engineer",2,"0.5","Java",,22,"male","Высшее","НТУ «ХПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Medtech"
6575,"Полтава",1666,0,"Software Engineer",3,1,"Swift",,27,"male","Два высших","Other вуз","False","средний","до 1000 человек","Аутсорсинговая","E-commerce, Hardware, Інша"
6576,"Kyiv",1660,250,"Project manager",3,3,,,30,"female","Высшее","ВНУ им. Даля","False","продвинутый","до 50 человек","Аутсорсинговая","Mobile, Інша"
6577,"Mykolaiv",1660,0,"Software Engineer",5,2,"Java",,27,"male","Высшее",,"False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
6578,"Lviv",1656,0,"QA Engineer",9,3,,"Manual QA",30,"male","Высшее","ХНУРЭ","False","средний","до 200 человек","Продуктовая","Travel"
6579,"Vinnytsia",1650,0,"Software Engineer",2,1,"Java",,31,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","Gambling, GameDev"
6580,"Kharkiv",1650,0,"Senior QA engineer",10,3,,"Manual QA",33,"male","Техникум / Колледж",,"False","средний","до 1000 человек","Аутсорсинговая","Mobile, Інша"
6581,"Kharkiv",1650,500,"Software Engineer",3,2,"Ruby/Rails",,30,"male","Высшее","ХНЭУ","False","средний","свыше 1000 человек","Аутсорсинговая","E-commerce"
6582,"Kharkiv",1650,850,"Software Engineer",2,2,"Java",,21,"male","Еще студент","НТУУ «КПИ»","True","выше среднего","свыше 1000 человек","Аутсорсинговая","Travel"
6583,"Lviv",1650,-300,"Project manager",4,2,,,25,"male","Высшее","Lvivская Политехника","False","выше среднего","до 50 человек","Аутсорсинговая","E-commerce, Internet of Things, Mobile"
6584,"Kharkiv",1650,400,"Team/Technical Lead",3,1,"TypeScript",,23,"male","Высшее","НТУ «ХПИ»","False","выше среднего","до 50 человек","Аутсорсинговая","E-commerce, Internet of Things, Uberfication"
6585,"Kyiv",1650,0,"Software Engineer",4,"0.5","JavaScript",,38,"male","Два высших","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","E-commerce"
6586,"Rivne",1650,200,"Software Engineer",2,0,"JavaScript",,28,"male","Техникум / Колледж",,"False","ниже среднего","до 200 человек","Аутсорсинговая","E-commerce"
6587,"Kyiv",1650,700,"Software Engineer",3,1,"PHP",,27,"male","Незаконченное высшее","НАУ","False","ниже среднего","до 10 человек","Продуктовая","Travel, Інша"
6588,"Kyiv",1650,200,"BI Engineer",5,"0.5",,,26,"male","Техникум / Колледж","ДНУЖТ","False","ниже среднего","до 200 человек","Аутсорсинговая","Інша"
6589,"Lviv",1650,0,"SysAdmin",10,1,,,35,"male","Высшее","Lvivская Политехника","False","ниже среднего","до 1000 человек","Другая","Hardware, Security, Інша"
6590,"Mykolaiv",1650,0,"Software Engineer",1,1,"Dart",,23,"male","Высшее","НУК","False","средний","до 50 человек","Аутсорсинговая","Automotive"
6591,"Other",1650,300,"Software Engineer",10,3,"TypeScript",,29,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","Blockchain, Інша"
6592,"Kyiv",1650,950,"Software Engineer",2,"0.5","Python",,31,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 10 человек","Продуктовая","ERP"
6593,"Kharkiv",1650,300,"Technical writer",10,4,,,36,"male","Два высших","НТУ «ХПИ»","False","продвинутый","до 1000 человек","Аутсорсинговая","Cloud Computing"
6594,"Kyiv",1650,150,"Junior Software Engineer",3,2,"Ruby/Rails",,26,"male","Высшее","Other вуз","False","средний","до 200 человек","Аутстаффинговая","Fintech"
6595,"Чернигов",1650,600,"Software Engineer",2,"0.5","JavaScript",,22,"male","Высшее","ЧНТУ","False","средний","до 200 человек","Аутсорсинговая","Medtech"
6596,"Lviv",1650,1000,"Software Engineer",2,2,"Java",,26,"male","Высшее","Other вуз","False","выше среднего","до 10 человек","Продуктовая","E-commerce, Insurance"
6597,"Lviv",1650,200,"Software Engineer",5,1,"C",,34,"male","Два высших","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Embedded, Medtech, Robotics"
6598,"Kharkiv",1650,80,"Senior QA engineer",7,7,,"Manual QA",33,"male","Высшее","ХНУРЭ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Medtech"
6599,"Kyiv",1650,200,"QA Tech Lead",6,1,,"Manual QA",38,"female","Высшее","Other вуз","False","продвинутый","до 10 человек","Продуктовая","Mobile, Інша"
6600,"Херсон",1650,-300,"Senior Software Engineer",8,8,"PHP",,29,"male","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутсорсинговая","Adtech, Media"
6601,"Kyiv",1650,200,"Customer Success",2,2,,,27,"female","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","Інша"
6602,"Kyiv",1650,150,"HR",5,3,,,32,"female","Высшее","ХНУ им. Каразина","False","выше среднего","до 200 человек","Аутсорсинговая","Media, Mobile"
6603,"Kyiv",1650,150,"Junior Software Engineer",2,"0.5","JavaScript",,35,"male","Высшее","Other вуз","False","выше среднего","до 10 человек","Другая","E-commerce"
6604,"Kharkiv",1650,0,"Software Engineer",3,"0.5","Swift",,21,"male","Высшее","ХНУРЭ","False","средний","до 50 человек","Продуктовая","Mobile"
6605,"Kharkiv",1650,0,"Project manager",3,1,,,27,"female","Высшее","ХНУ им. Каразина","False","продвинутый","до 1000 человек","Аутсорсинговая","Machine Learning, Mobile, Інша"
6606,"Запорожье",1650,200,"QA Engineer",5,3,,"General QA",28,"male","Высшее","ЗНТУ","False","выше среднего","до 200 человек","Аутсорсинговая","E-commerce"
6607,"Odessa",1650,900,"Project manager",3,"0.5",,,25,"male","Высшее","ОНПУ","False","продвинутый","до 1000 человек","Продуктовая","E-commerce, Logistics, Manufacturing"
6608,"Чернигов",1650,450,"Software Engineer",3,2,"Java",,23,"male","Высшее","ЧНТУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","E-commerce"
6609,"Kharkiv",1650,400,"Software Engineer",4,4,"PHP",,31,"male","Высшее","ХАИ","False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
6610,"Kyiv",1647,150,"Data Engineer",4,2,,,23,"male","Незаконченное высшее","НаУКМА","False","продвинутый","до 200 человек","Продуктовая","Edtech"
6611,"Kharkiv",1640,150,"Senior QA engineer",5,5,,"Manual QA",30,"male","Высшее","Other вуз","False","средний","до 1000 человек","Продуктовая","GameDev, Mobile"
6612,"Kharkiv",1630,500,"Software Engineer",2,2,"C#/.NET",,31,"male","Два высших","НТУ «ХПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
6613,"Kharkiv",1630,100,"Software Engineer",2,1,"C++",,22,"male","Еще студент","ХНУРЭ","True","продвинутый","свыше 1000 человек","Аутстаффинговая","Security"
6614,"Ivano-Frankivsk",1630,134,"Team/Technical Lead",5,4,"Kotlin",,26,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","Mobile"
6615,"Kharkiv",1625,200,"Software Engineer",10,3,"PHP",,38,"male","Высшее","ВНУ им. Даля","False","ниже среднего","до 200 человек","Аутсорсинговая","E-commerce"
6616,"Lviv",1625,600,"Software Engineer",3,3,"Java",,26,"male","Высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","E-commerce, Fintech"
6617,"Ivano-Frankivsk",1620,500,"Software Engineer",3,2,"Java",,22,"male","Высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Insurance"
6618,"Kyiv",1615,900,"QA Engineer",2,1,,"Automation QA",25,"female","Высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Logistics"
6619,"Vinnytsia",1600,600,"Software Engineer",4,"0.5","Kotlin",,25,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Аутсорсинговая","E-commerce, Mobile"
6620,"Запорожье",1600,150,"Software Engineer",4,4,"JavaScript",,23,"male","Высшее","ЗНТУ","False","ниже среднего","до 200 человек","Аутсорсинговая","Logistics, Telecom, Інша"
6621,"Vinnytsia",1600,100,"Designer",7,1,,,36,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Продуктовая","Gambling"
6622,"Сумы",1600,250,"Software Engineer",8,5,"PHP",,32,"male","Высшее","СумГУ","False","ниже среднего","до 200 человек","Другая","Інша"
6623,"Kharkiv",1600,400,"Team/Technical Lead",5,2,"Other",,31,"female","Высшее","НАУ","False","выше среднего","до 1000 человек","Аутсорсинговая","Logistics, Medtech, Mobile"
6624,"Kharkiv",1600,0,"Software Engineer",4,2,"Ruby/Rails",,26,"male","Высшее","ДонНУ им. Васыля Стуса","False","ниже среднего","до 50 человек","Аутсорсинговая","Інша"
6625,"Kyiv",1600,600,"QA Engineer",3,1,,"Manual QA",25,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Продуктовая","Інша"
6626,"Kyiv",1600,450,"Designer",3,2,,,25,"female","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","Gambling, GameDev"
6627,"Lviv",1600,950,"Junior Software Engineer",2,2,"Java",,23,"male","Высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Mobile, Telecom"
6628,"Chernivtsi",1600,-200,"Software Engineer",4,3,"PHP",,24,"male","Высшее","ЧНУ им. Федьковича","False","выше среднего","до 50 человек","Аутсорсинговая","E-commerce, Logistics"
6629,"Kharkiv",1600,800,"QA Engineer",4,1,,"Manual QA",24,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутсорсинговая","Mobile, Інша"
6630,"Kyiv",1600,700,"Software Engineer",2,2,"Swift",,22,"male","Еще студент","НТУУ «КПИ»","True","средний","до 200 человек","Аутсорсинговая","Media, Mobile"
6631,"Kyiv",1600,600,"Software Engineer",2,"0.5","TypeScript",,28,"male","Высшее",,"False","продвинутый","до 50 человек","Продуктовая","Logistics"
6632,"Kyiv",1600,500,"Technical writer",5,"0.5",,,32,"female","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Стартап","Інша"
6633,"Kharkiv",1600,100,"Designer",4,2,,,25,"female","Высшее","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
6634,"Kyiv",1600,400,"Marketing",2,3,,,26,"female","Высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Продуктовая","Інша"
6635,"Kyiv",1600,0,"QA Tech Lead",2,2,,"General QA",22,"male","Высшее","НАУ","False","средний","до 50 человек","Продуктовая","Geospatial, Internet of Things"
6636,"Kyiv",1600,0,"Product Owner",2,4,,,31,"female","Высшее","НаУКМА","False","продвинутый","свыше 1000 человек","Другая","Telecom"
6637,"Kharkiv",1600,300,"QA Engineer",6,0,,"General QA",27,"female","Высшее","ХНУРЭ","False","средний","до 200 человек","Аутсорсинговая","Mobile"
6638,"Lviv",1600,100,"QA Engineer",5,1,,"Manual QA",27,"male","Высшее","ВНТУ","False","средний","свыше 1000 человек","Аутсорсинговая","Embedded"
6639,"Житомир",1600,200,"Senior Software Engineer",6,2,"TypeScript",,28,"male","Высшее","ЖГТУ","False","ниже среднего","до 1000 человек","Продуктовая","High Load Systems, Media, Medtech"
6640,"Dnipro",1600,150,"Software Engineer",5,0,"JavaScript",,29,"male","Высшее","НметАУ","False","средний","до 50 человек","Аутсорсинговая","Fintech, Medtech"
6641,"Kyiv",1600,0,"Business analyst",2,1,,,24,"female","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Продуктовая","Security"
6642,"Kharkiv",1600,100,"Software Engineer",2,"0.5","Python",,21,"male","Еще студент","ХНУРЭ","True","средний","свыше 1000 человек","Аутсорсинговая","Insurance, Mobile"
6643,"Запорожье",1600,400,"Software Engineer",4,1,"PHP",,29,"male","Высшее","ДонНТУ","False","средний","до 10 человек","Продуктовая","E-commerce"
6644,"Lviv",1600,600,"Software Engineer",3,0,"JavaScript",,24,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутстаффинговая","E-commerce, Hardware"
6645,"Dnipro",1600,0,"Project manager",4,3,,,31,"male","Высшее","Other вуз","False","средний","до 200 человек","Продуктовая","Edtech, Mobile"
6646,"Kharkiv",1600,500,"Software Engineer",2,2,"Java",,21,"male","Еще студент","Other вуз","True","выше среднего","до 1000 человек","Аутсорсинговая","Media"
6647,"Kyiv",1600,600,"QA Engineer",2,2,,"Manual QA",24,"female","Высшее","ДНУ им. Гончара","False","выше среднего","до 200 человек","Продуктовая","Security"
6648,"Kharkiv",1600,700,"Software Engineer",3,2,"TypeScript",,23,"male","Высшее","ХНУРЭ","False","выше среднего","до 1000 человек","Аутсорсинговая","Medtech"
6649,"Dnipro",1600,400,"Project manager",2,"0.5",,,25,"male","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Аутсорсинговая","Security"
6650,"Odessa",1600,0,"QA Engineer",5,1,,"Manual QA",38,"male","Высшее","ОНПУ","False","средний","свыше 1000 человек","Аутсорсинговая","Automotive"
6651,"Kharkiv",1600,600,"Senior Software Engineer",7,7,"Swift",,38,"male","Кандидат","НТУ «ХПИ»","False","средний","до 50 человек","Аутсорсинговая","Mobile"
6652,"Kyiv",1600,100,"QA Engineer",9,9,,"Manual QA",31,"male","Высшее","СумГУ","False","средний","до 50 человек","Продуктовая","Mobile, Інша"
6653,"Kyiv",1600,200,"QA Engineer",4,1,,"Automation QA",34,"male","Высшее","НАУ","False","ниже среднего","до 50 человек","Продуктовая","Automotive, E-commerce"
6654,"Odessa",1600,600,"Marketing",5,"0.5",,,21,"male","Высшее","Other вуз","False","продвинутый","до 10 человек","Стартап","Adtech, Media"
6655,"Kyiv",1600,0,"Software Engineer",3,1,"Kotlin",,22,"male","Высшее","НаУКМА","False","продвинутый","до 200 человек","Аутсорсинговая","Fintech"
6656,"Dnipro",1600,400,"Software Engineer",4,3,"JavaScript",,44,"male","Высшее","Other вуз","False","ниже среднего","до 1000 человек","Продуктовая","Fintech"
6657,"Dnipro",1600,0,"QA Engineer",3,3,,"Manual QA",30,"male","Высшее","ДНУ им. Гончара","False","средний","до 1000 человек","Аутсорсинговая","Security"
6658,"Тернополь",1600,300,"Software Engineer",6,2,"C#/.NET",,26,"male","Высшее","Other вуз","False","средний","до 200 человек","Аутстаффинговая","Adtech, Fintech, Media"
6659,"Lviv",1600,-1600,"Software Engineer",4,1,"JavaScript",,27,"male","Техникум / Колледж","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
6660,"Kharkiv",1600,200,"Software Engineer",1,1,"PHP",,25,"male","Высшее","НТУ «ХПИ»","False","ниже среднего","до 200 человек","Аутсорсинговая","E-commerce"
6661,"Kyiv",1600,-300,"HR",4,2,,,24,"female","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","E-commerce, Fintech, Logistics"
6662,"Kyiv",1600,200,"Technical writer",4,1,,,29,"female","Высшее","Other вуз","False","продвинутый","до 1000 человек","Продуктовая","Gambling"
6663,"Kharkiv",1600,700,"Software Engineer",2,2,"Java",,22,"male","Высшее","НТУ «ХПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","E-commerce"
6664,"Kyiv",1600,75,"QA Engineer",6,6,,"Manual QA",34,"female","Высшее","НТУУ «КПИ»","False","средний","до 50 человек","Продуктовая","Hardware"
6665,"Kyiv",1600,800,"QA Engineer",2,"0.5",,"Manual QA",25,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Аутстаффинговая","Adtech, GameDev, Mobile"
6666,"Kharkiv",1600,800,"Software Engineer",3,2,"Ruby/Rails",,25,"male","Высшее","ХНУРЭ","False","средний","до 1000 человек","Аутсорсинговая","Insurance"
6667,"Lviv",1600,400,"Software Engineer",2,"0.5","Java",,25,"male","Высшее","Lvivская Политехника","False","средний","до 50 человек","Аутсорсинговая","E-commerce"
6668,"Ivano-Frankivsk",1600,500,"QA Engineer",4,"0.5",,"Manual QA",31,"female","Высшее","Other вуз","False","продвинутый","до 1000 человек","Аутсорсинговая","Logistics"
6669,"Vinnytsia",1600,300,"Project manager",4,2,,,32,"male","Кандидат","ЖГТУ","False","выше среднего","до 50 человек","Аутсорсинговая","E-commerce, ERP, Mobile"
6670,"Lviv",1600,0,"Software Engineer",6,3,"PHP",,29,"male","Высшее","Other вуз","False","средний","до 50 человек","Аутстаффинговая","E-commerce, Edtech"
6671,"Lviv",1600,500,"QA Engineer",3,1,,"Automation QA",30,"male","Высшее","Other вуз","False","средний","до 200 человек","Аутстаффинговая","E-commerce"
6672,"Lviv",1600,700,"QA Engineer",3,"0.25",,"Automation QA",22,"male","Техникум / Колледж",,"False","средний","до 1000 человек","Аутсорсинговая","Logistics"
6673,"Kyiv",1600,-100,"Business analyst",4,"0.5",,,58,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Продуктовая","ERP, Fintech, Інша"
6674,"Kyiv",1600,0,"Software Engineer",1,"0.5","JavaScript",,28,"male","Среднее",,"False","ниже среднего","до 10 человек","Продуктовая","Blockchain, Fintech"
6675,"Kyiv",1600,200,"HR",4,1,,,25,"female","Высшее","КНЭУ","False","выше среднего","до 10 человек","Аутсорсинговая","Інша"
6676,"Kharkiv",1600,0,"Senior QA engineer",9,3,,"General QA",29,"female","Высшее","ХНУРЭ","False","средний","до 1000 человек","Продуктовая","Cloud Computing, Logistics, Mobile"
6677,"Тернополь",1600,300,"Software Engineer",3,3,"PHP",,25,"male","Высшее","Other вуз","False","средний","до 200 человек","Продуктовая","Інша"
6678,"Lviv",1600,100,"Designer",7,1,,,31,"female","Высшее","Other вуз","False","средний","до 200 человек","Аутсорсинговая","ERP, Fintech, Mobile"
6679,"Kyiv",1600,800,"QA Engineer",4,"0.5",,"General QA",27,"male","Высшее","Lvivская Политехника","False","средний","до 50 человек","Аутсорсинговая","Automotive"
6680,"Kyiv",1600,-400,"Product Manager",2,1,,,27,"female","Высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Продуктовая","Інша"
6681,"Kyiv",1600,1200,"QA Engineer",4,2,,"Manual QA",27,"male","Высшее","ЧНУ им. Федьковича","False","выше среднего","до 200 человек","Продуктовая","E-commerce, Travel"
6682,"Kyiv",1600,800,"Project manager",3,"0.25",,,27,"female","Высшее","ЖГТУ","False","продвинутый","до 200 человек","Аутсорсинговая","Gambling, Hardware, Mobile"
6683,"Odessa",1600,400,"Software Engineer",3,2,"C++",,38,"male","Два высших","ОНАС","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Automotive"
6684,"Kyiv",1600,600,"Software Engineer",3,1,"JavaScript",,27,"male","Высшее","НАУ","False","средний","до 50 человек","Аутсорсинговая","E-commerce, Media"
6685,"Dnipro",1600,100,"Project manager",4,0,,,30,"female","Высшее","ДНУ им. Гончара","False","выше среднего","до 200 человек","Аутсорсинговая","Інша"
